1571828067,1,12,3,"C8,CK,C2,CA;C3,CQ,C10,C6;SQ,C5,C4,C7;HK,CJ,HA,C9;D2,D3,D5,D4;DK,D6,D7,DQ;DA,DJ,D9,HQ;S5,S3,S4,S2;S9,SJ,S7,S8;H5,D10,D8,H6;S10,SK,H10,S6;H4,H8,H7,H2;SA,HJ,H9,H3"
1571828067,1,0,3,"CK,C5,CA,C2;CJ,C4,C7,CQ;C3,HJ,HK,C6;C9,H8,HQ,C8;C10,H6,H10,SQ;D6,D3,D5,D4;D7,DQ,D10,DJ;S8,S3,S7,S2;S9,S6,S4,SJ;HA,H5,D9,DK;SA,H4,D8,DA;SK,H3,H2,H7;S10,S5,D2,H9"
1571828067,1,2,3,"CQ,C2,CA,CK;C10,C6,C4,CJ;HA,DK,D9,D4;HJ,D2,D3,D6;H9,D7,HK,D8;H8,D5,H6,D10;H4,DQ,C9,DJ;S7,S4,SJ,S5;C7,HQ,C8,SQ;SA,S8,S2,H10;C3,H7,S9,H5;C5,SK,S6,H2;H3,S10,S3,DA"
1571828067,1,0,3,"CA,C10,C2,CK;C4,HK,CJ,C9;CQ,H9,C3,C6;D3,D6,D7,SQ;HA,H8,C5,HJ;HQ,H3,C7,H6;H5,DJ,C8,SA;D8,D5,D9,SK;D4,D2,D10,S10;H2,S8,S9,S7;DA,SJ,H4,S5;DK,S6,H7,S3;DQ,S4,H10,S2"
1571828067,1,0,3,"CK,C2,CA,CJ;C3,C10,C9,C8;HJ,C5,CQ,C4;D2,SQ,D3,D4;H10,HA,H9,C6;H7,H8,H6,C7;DQ,SA,D6,D7;DK,SK,DJ,D10;S6,S5,S3,HK;S8,S7,H3,HQ;S10,S9,H2,H5;SJ,S4,D8,DA;H4,S2,D5,D9"
1571828067,1,20,3,"CQ,C8,C2,CK;C4,HK,CA,C3;HJ,H8,C6,C5;D2,D3,D6,D5;DA,DQ,DK,DJ;S2,S6,S10,S8;SJ,S3,S4,HA;S5,SA,S9,D10;H10,D7,SQ,D4;H9,D8,HQ,CJ;H2,D9,H6,C10;SK,H3,H4,C9;S7,H7,H5,C7"
1571828067,1,0,3,"DK,CQ,C2,CA;HA,C6,CJ,C4;HJ,C3,C7,C5;H10,HK,C9,C8;H9,H7,C10,CK;D9,D10,D2,D4;DJ,DQ,D8,D7;S4,S2,SJ,S5;S3,S10,S6,SQ;D3,H5,H3,D5;D6,H4,H2,DA;H6,SK,S8,H8;SA,S9,S7,HQ"
1571828067,1,0,3,"C2,C10,CA,CK;C5,HK,C8,C7;C3,HJ,CJ,C9;D5,D6,D3,DJ;CQ,H9,SQ,C4;D2,H3,DQ,DK;H10,H2,HQ,C6;S3,SJ,SK,S2;D7,SA,D8,HA;D9,S10,D10,H6;H4,S9,H5,S8;DA,S5,H7,S7;D4,S4,H8,S6"
1571828067,1,25,3,"C2,CA,CK,C9;C10,C3,C7,C6;D5,D9,DQ,DK;S3,S6,S10,S2;HA,CQ,C4,H10;HK,C5,SQ,H7;HJ,C8,HQ,H3;H4,CJ,H6,SK;D7,D3,D2,SJ;D10,D6,D8,S8;DA,D4,DJ,S7;SA,H9,S9,S5;H2,H8,H5,S4"
1571828067,1,4,3,"CJ,CQ,C2,CA;C10,C9,CK,C4;C5,C6,C7,C8;HA,DA,DK,D3;H9,D2,D4,D5;H7,D7,D8,D6;C3,HJ,D10,D9;SJ,H10,DQ,DJ;S10,H3,H2,H4;S9,S8,SQ,S2;S7,H8,H6,H5;S4,S3,HK,SK;S5,S6,HQ,SA"
1571828067,1,17,3,"CQ,C2,CJ,C5;C3,C4,C6,H9;C8,C9,C7,H6;HK,CK,C10,H2;HJ,CA,SQ,DA;D3,D2,D7,D10;D8,D9,D6,DJ;D5,DK,D4,DQ;S7,S9,S8,S6;S2,SJ,S4,S10;H3,H4,H5,SK;H10,H8,H7,S5;SA,HA,HQ,S3"
1571828067,1,0,3,"CK,C10,CQ,C2;CJ,C9,C7,CA;HA,C4,C6,C5;HK,SQ,C3,C8;D6,D7,D4,D3;D2,D8,D9,DJ;HQ,DQ,D5,DK;H10,D10,HJ,DA;S5,S4,S3,S2;S6,S8,S10,S7;SJ,H9,SA,SK;H5,H3,H2,H6;H8,H4,H7,S9"
