1571752838,3,4,1,"C2,CK,C10,CA;S8,S4,S3,S2;S10,S5,S7,SJ;C8,CQ,C6,C4;HQ,S6,S9,HA;H6,SK,SQ,HK;D3,D4,D6,D9;C7,H9,HJ,C9;C5,H8,H4,CJ;DQ,DK,D5,DA;DJ,H7,H3,H2;D7,D8,D2,H10;C3,D10,SA,H5"
1571752838,3,0,1,"C2,CA,C8,C9;S4,S3,S6,S2;S10,S5,S9,S7;C4,CQ,C5,C3;HJ,SQ,H10,SJ;C7,C6,H9,HA;CJ,C10,H7,H8;CK,HK,H6,DQ;D9,D6,D8,D2;DK,D5,DJ,D10;DA,HQ,D7,SA;H3,H2,D4,SK;H5,H4,D3,S8"
1571752838,3,2,1,"CJ,CA,C10,C2;S3,S2,S8,S5;SA,SJ,SQ,SK;C4,C3,C7,C6;C5,C9,C8,CQ;HA,S4,HQ,S6;H7,S10,H10,S7;H6,CK,H5,H4;DJ,DK,D10,DQ;H3,H8,H2,DA;D4,H9,D8,D9;D3,HJ,D7,D6;D2,HK,D5,S9"
1571752838,3,0,1,"C8,C2,CA,CK;S2,S6,S5,S3;S4,S8,SQ,HQ;C6,C5,C7,H4;C4,C9,C10,H3;H6,CJ,CQ,DQ;DA,H8,H2,DJ;S10,SJ,HA,D9;S9,SK,HK,D7;D10,C3,HJ,D6;D8,D5,H9,D4;S7,H10,H7,D3;SA,DK,H5,D2"
1571752838,3,6,1,"C2,CK,CA,CQ;S6,S4,S7,S2;SJ,S9,S8,S3;SQ,H6,SK,S10;HK,C4,C5,C3;HJ,C7,C6,C8;H10,H3,HA,S5;H9,DA,H7,SA;H5,DQ,C10,C9;H4,D10,CJ,HQ;D2,D6,D7,D5;D9,D4,DJ,H8;D8,D3,DK,H2"
1571752838,3,1,1,"CK,C2,CJ,C7;S5,S3,S7,S2;SK,S6,S10,S4;C4,CA,C10,C6;HQ,S9,H9,S8;H8,SA,H6,SJ;CQ,C9,C8,SQ;D6,DK,D4,D5;DQ,DA,D3,DJ;H5,H3,H4,H2;D7,HA,D2,D9;D10,HJ,C5,H7;D8,HK,C3,H10"
1571752838,3,4,1,"CK,CA,C2,C5;S2,S9,S5,S3;S8,SJ,S6,S4;CJ,C6,C7,C4;SQ,HQ,S10,S7;C9,C8,C3,HJ;C10,CQ,HA,H9;D7,D9,D8,D3;D5,DQ,D6,DJ;H2,H4,H3,H7;HK,H10,SA,SK;DK,H6,D4,D10;H8,H5,DA,D2"
1571752838,3,16,1,"C10,CQ,CA,C2;S7,S8,S2,S4;S10,S9,S3,S5;SQ,SJ,S6,SK;C7,C6,C8,C9;D8,D7,D3,D9;D6,D4,DA,D10;C3,C4,C5,H7;HA,CJ,CK,H5;H2,H4,H6,H3;H10,H8,H9,DK;D2,HJ,HK,DJ;D5,SA,HQ,DQ"
1571752838,3,1,1,"CQ,CJ,CA,C2;S2,S3,S5,S8;S10,S4,S6,SA;C10,C9,CK,C5;HA,SJ,S7,HJ;HQ,SQ,S9,H9;H7,SK,HK,H4;D3,D4,D5,D8;C6,H10,C4,C7;D6,D7,D2,D9;H6,DA,DJ,D10;H5,H2,DQ,H3;C8,H8,C3,DK"
1571752838,3,3,1,"CJ,C2,CA,CK;S2,S5,S3,S7;S4,S9,SA,S8;C8,C7,C3,CQ;S6,SK,HA,S10;SQ,C4,C5,HQ;H10,C6,C9,H8;H3,H9,C10,H6;D5,D3,D4,D2;D8,D9,DJ,D7;DQ,D6,DK,DA;H2,H7,HK,SJ;D10,H5,HJ,H4"
1571752838,3,1,1,"C5,C2,CJ,CA;S4,S2,S5,S3;S6,S8,S7,S10;C3,CK,C10,C6;SK,S9,SJ,HA;D3,D5,D8,D4;HQ,H10,SQ,HK;H7,H3,SA,HJ;H6,C4,C7,CQ;DQ,DK,DA,D6;DJ,C9,C8,H5;D7,D2,H9,H4;D9,D10,H8,H2"
1571752838,3,2,1,"CA,CK,C2,CQ;S3,SQ,S2,S7;C8,C3,C7,C5;S6,HK,S5,S9;SJ,H10,S4,SK;C9,C6,C10,C4;S10,H8,SA,HJ;D7,D2,D3,D6;S8,H7,H4,H6;DK,DA,DQ,DJ;HA,CJ,D10,H5;H9,H2,D8,D9;HQ,H3,D4,D5"
